"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"GY:DAI","Daimler AG","DAI","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0007100000","","75,057,168,384","EUR","Analyze"
"GY:MRK","MERCK Kommanditgesellschaft auf Aktien","MRK","10/23/1995","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE0006599905","","74,955,718,656","EUR","Analyze"
"GY:SHL","Siemens Healthineers Ag","SHL","03/16/2018","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE000SHL1006","BD594Y4","61,746,847,744","EUR","Analyze"
"GY:BMW","Bayerische Motoren Werke Aktiengesellschaft","BMW","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0005190003","","51,566,682,112","EUR","Analyze"
"GY:DPW","Deutsche Post AG","DPW","11/20/2000","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0005552004","","45,957,287,936","EUR","Analyze"
"GY:BAS","BASF SE","BAS","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE000BASF111","","45,187,805,184","EUR","Analyze"
"GY:IFX","Infineon Technologies AG","IFX","03/13/2000","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE0006231004","","36,791,414,784","EUR","Analyze"
"GY:DB1","Deutsche Börse AG","DB1","02/05/2001","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE0005810055","","29,819,725,824","EUR","Analyze"
"GY:HEN","Henkel AG & Co. KGaA","HEN","07/03/1996","Global Equity","Comon stocks","Developed markets ex-US","Consumer Staples","DE0006048408","","26,715,392,000","EUR","Analyze"
"GY:EOAN","E.ON SE","EOAN","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Utilities","DE000ENAG999","","26,086,737,920","EUR","Analyze"
"GY:IGY","innogy SE","IGY","10/07/2016","Global Equity","Common stocks","Developed markets ex-US","Utilities","DE000A2AADD2","BDCFZS6","24,255,551,488","EUR","Analyze"
"GY:DTG","Daimler Truck Holding AG","DTG","12/10/2021","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE000DTR0CK8","","23,337,500,672","EUR","Analyze"
"GY:FRE","Fresenius SE & Co. KGaA","FRE","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE0005785604","","21,447,088,128","EUR","Analyze"
"GY:BEI","Beiersdorf Aktiengesellschaft","BEI","02/08/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Staples","DE0005200000","","21,166,749,696","EUR","Analyze"
"GY:HNR1","Hannover Rück SE","HNR1","12/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE0008402215","","17,341,849,600","EUR","Analyze"
"GY:FME","Fresenius Medical Care AG & Co. KGaA","FME","10/04/1996","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE0005785802","","16,497,420,288","EUR","Analyze"
"GY:ENR","Siemens Energy N Ag","ENR","09/28/2020","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000ENER6Y0","BMTVQK9","12,253,243,392","EUR","Analyze"
"GY:AFX","Carl Zeiss Meditec AG","AFX","03/22/2000","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE0005313704","","11,014,609,920","EUR","Analyze"
"GY:MAN3","MAN SE","MAN3","12/15/1997","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE0005937031","5563531","10,880,960,512","EUR","Analyze"
"GY:BNR","Brenntag SE","BNR","03/29/2010","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE000A1DAHH0","","10,669,769,728","EUR","Analyze"
"GY:KBX","Knorr-Bremse AG","KBX","10/12/2018","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000KBX1006","BD2P9X9","10,639,200,256","EUR","Analyze"
"GY:CBK","Commerzbank AG","CBK","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE000CBK1001","","9,062,076,416","EUR","Analyze"
"GY:DHER","Delivery Hero SE","DHER","06/29/2017","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000A2E4K43","BZCNB42","7,390,667,776","EUR","Analyze"
"GY:NEM","Nemetschek SE","NEM","03/11/1999","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE0006452907","","7,331,939,840","EUR","Analyze"
"GY:HLE","HELLA GmbH & Co. KGaA","HLE","11/11/2014","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000A13SX22","BSHYK55","7,122,214,912","EUR","Analyze"
"GY:DWS","DWS Group GmbH & Co. KGaA","DWS","03/29/2018","Global Equity","Common stocks","Developed markets ex-US","Financials","DE000DWS1007","","6,579,983,872","EUR","Analyze"
"GY:G1A","GEA Group Aktiengesellschaft","G1A","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0006602006","","6,311,220,224","EUR","Analyze"
"GY:EVD","CTS Eventim AG & Co. KGaA","EVD","02/01/2000","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE0005470306","","6,109,846,016","EUR","Analyze"
"GY:KGX","KION GROUP AG","KGX","06/28/2013","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE000KGX8881","","5,885,168,640","EUR","Analyze"
"GY:FRA","Fraport AG","FRA","06/11/2001","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0005773303","","4,638,043,136","EUR","Analyze"
"GY:G24","Scout24 AG","G24","09/30/2015","Global Equity","Common stocks","Developed markets ex-US","Communication Services","DE000A12DM80","BYT9340","4,609,190,912","EUR","Analyze"
"GY:EVT","Evotec SE","EVT","11/10/1999","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE0005664809","","4,384,895,488","EUR","Analyze"
"GY:HOT","HOCHTIEF Aktiengesellschaft","HOT","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0006070006","","4,054,555,648","EUR","Analyze"
"GY:NDA","Aurubis AG","NDA","07/07/1998","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE0006766504","","3,841,991,936","EUR","Analyze"
"GY:FPE","Fuchs Petrolub N","FPE","02/08/1994","Global Equity","Common stocks","Developed markets ex-US","Materials","DE000A3E5D56","BNHRG73","3,559,442,944","EUR","Analyze"
"GY:FPE3","Fuchs Petrolub SE","FPE3","10/09/1998","Global Equity","Common stocks","Developed markets ex-US","Materials","DE0005790430","4354350","3,417,384,448","EUR","Analyze"
"GY:BOSS","Hugo Boss AG","BOSS","02/03/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE000A1PHFF7","","3,370,061,056","EUR","Analyze"
"GY:TLG","TLG Immobilien AG","TLG","10/23/2014","Global Equity","Common stocks","Developed markets ex-US","Real Estate","DE000A12B8Z4","BR2Z8G3","3,366,269,952","EUR","Analyze"
"GY:ZO1","zooplus AG","ZO1","05/09/2008","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0005111702","","3,345,816,320","EUR","Analyze"
"GY:1U1","1&1 AG","1U1","04/23/1998","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE0005545503","","3,333,832,960","EUR","Analyze"
"GY:LXS","LANXESS Aktiengesellschaft","LXS","01/31/2005","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE0005470405","","3,237,986,304","EUR","Analyze"
"GY:AIXA","AIXTRON SE","AIXA","11/11/1997","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE000A0WMPJ6","","2,883,745,792","EUR","Analyze"
"GY:B4B","Metro AG","B4B","07/13/2017","Global Equity","Comon stocks","Developed markets ex-US","Consumer Staples","DE000BFB0019","","2,845,052,928","EUR","Analyze"
"GY:FNTN","freenet AG","FNTN","12/03/1999","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE000A0Z2ZZ5","","2,737,740,800","EUR","Analyze"
"GY:RKET","Rocket Internet SE","RKET","10/02/2014","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000A12UKK6","BR17150","2,523,852,800","EUR","Analyze"
"GY:AOX","alstria office REIT-AG","AOX","04/02/2007","Global Equity","REITs","Developed markets ex-US","Real Estate","DE000A0LD2U1","B1VP947","2,480,000,000","EUR","Analyze"
"GY:JUN3","Jungheinrich Aktiengesellschaft","JUN3","12/31/1999","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE0006219934","5545670","2,409,240,064","EUR","Analyze"
"GY:BFSA","Befesa Sa","BFSA","11/03/2017","Global Equity","Common stocks","Developed markets ex-US","Industrials","LU1704650164","BDZRDG3","2,240,000,000","EUR","Analyze"
"GY:BYW6","BayWa Aktiengesellschaft","BYW6","02/15/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0005194062","","2,209,133,824","EUR","Analyze"
