"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"FP:MC","LVMH Moët Hennessy Louis Vuitton S.E","MC","01/03/1989","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","FR0000121014","4061412","285,787,783,168","EUR","Analyze"
"FP:OR","L'Oréal S.A","OR","01/07/1985","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","FR0000120321","4057808","165,523,128,320","EUR","Analyze"
"FP:TTE","TotalEnergies SE","TTE","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Energy","FR0000120271","","133,704,990,720","EUR","Analyze"
"FP:SAN","Sanofi","SAN","01/07/1985","Global Equity","Common stocks","Developed markets ex-US","Health Care","FR0000120578","5671735","127,737,921,536","EUR","Analyze"
"FP:RMS","Hermès International Société en commandite par actions","RMS","06/08/1993","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","FR0000052292","5253973","108,180,766,720","EUR","Analyze"
"FP:FP","TOTAL S.A","FP","01/03/2000","Global Equity","Common stocks","Developed markets ex-US","Energy","FR0000120271","B15C557","104,371,593,216","EUR","Analyze"
"FP:CDI","Christian Dior SE","CDI","01/27/1992","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","FR0000130403","4061393","98,233,794,560","EUR","Analyze"
"FP:AIR","Airbus SE","AIR","06/07/1999","Global Equity","Common stocks","Developed markets ex-US","Industrials","NL0000235190","4012250","85,428,559,872","EUR","Analyze"
"FP:AI","L'Air Liquide S.A","AI","01/07/1985","Global Equity","Common stocks","Developed markets ex-US","Materials","FR0000120073","B1YXBJ7","75,732,598,784","EUR","Analyze"
"FP:SU","Schneider Electric S.E","SU","01/07/1985","Global Equity","Common stocks","Developed markets ex-US","Industrials","FR0000121972","4834108","70,100,606,976","EUR","Analyze"
"FP:BNP","BNP Paribas SA","BNP","10/15/1993","Global Equity","Common stocks","Developed markets ex-US","Financials","FR0000131104","7309681","65,600,823,296","EUR","Analyze"
"FP:EL","EssilorLuxottica Société anonyme","EL","04/02/1990","Global Equity","Comon stocks","Developed markets ex-US","Health Care","FR0000121667","","64,794,677,248","EUR","Analyze"
"FP:KER","Kering SA","KER","01/03/1989","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","FR0000121485","5505072","55,581,749,248","EUR","Analyze"
"FP:CS","AXA SA","CS","01/03/1989","Global Equity","Common stocks","Developed markets ex-US","Financials","FR0000120628","7088429","53,920,473,088","EUR","Analyze"
