"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"GF:LIN","Linde plc","LIN","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Materials","DE0006483001","5740817","147,866,353,664","EUR","Analyze"
"GF:SAP","SAP","SAP","01/03/2000","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE0007164600","4846288","107,743,133,696","EUR","Analyze"
"GF:UNVB","Unilever PLC","UNVB","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Unknown","GB00B10RZP78","B15F6K8","104,771,518,464","EUR","Analyze"
"GF:VOW","Volkswagen AG","VOW","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE0007664005","5497102","97,944,813,568","EUR","Analyze"
"GF:SIE","Siemens Aktiengesellschaft","SIE","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE0007236101","5727973","91,773,362,176","EUR","Analyze"
"GF:DTE","Deutsche Telekom AG","DTE","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Communication Services","DE0005557508","5842359","91,666,841,600","EUR","Analyze"
"GF:ALV","Allianz SE","ALV","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Financials","DE0008404005","5231485","80,125,222,912","EUR","Analyze"
"GF:MRK","MERCK Kommanditgesellschaft auf Aktien","MRK","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE0006599905","4741844","73,879,822,336","EUR","Analyze"
"GF:DPW","Deutsche Post AG","DPW","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE0005552004","4617859","46,380,601,344","EUR","Analyze"
"GF:BAS","BASF SE","BAS","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Materials","DE000BASF111","5086577","44,457,500,672","EUR","Analyze"
"GF:IFX","Infineon Technologies AG","IFX","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE0006231004","5889505","36,329,242,624","EUR","Analyze"
"GF:ADS","adidas AG","ADS","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000A1EWWW0","4031976","33,711,808,512","EUR","Analyze"
"GF:MUV2","Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft","MUV2","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Financials","DE0008430026","5294121","31,015,530,496","EUR","Analyze"
"GF:DB1","Deutsche Börse Aktiengesellschaft","DB1","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Financials","DE0005810055","7021963","29,351,499,776","EUR","Analyze"
"GF:HEN","Henkel AG & Co. KGaA","HEN","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","DE0006048408","5002465","26,239,391,744","EUR","Analyze"
"GF:EOAN","E.ON SE","EOAN","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Utilities","DE000ENAG999","4942904","26,073,700,352","EUR","Analyze"
"GF:DTG","Daimler Truck Holding AG","DTG","12/10/2021","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE000DTR0CK8","","23,102,973,952","EUR","Analyze"
"GF:BEI","Beiersdorf Aktiengesellschaft","BEI","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","DE0005200000","5107401","21,840,556,032","EUR","Analyze"
"GF:DBK","Deutsche Bank Aktiengesellschaft","DBK","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Financials","DE0005140008","5750355","19,034,951,680","EUR","Analyze"
"GF:TEQ","Telenor ASA","TEQ","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Unknown","NO0010063308","7064678","17,080,409,088","EUR","Analyze"
"GF:HNR1","Hannover Rück SE","HNR1","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Financials","DE0008402215","4511809","17,065,805,824","EUR","Analyze"
"GF:RWE3","RWE Aktiengesellschaft","RWE3","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Utilities","DE0007037145","4769147","14,313,420,800","EUR","Analyze"
"GF:EVK","Evonik Industries AG","EVK","04/25/2013","Global Equity","Common stocks","Developed markets ex-US","Materials","DE000EVNK013","B5ZQ9D3","11,974,504,448","EUR","Analyze"
"GF:BUZ1","Bunzl plc","BUZ1","01/07/2008","Global Equity","Common stocks","Developed markets ex-US","Unknown","GB00B0744B38","B0B7Z71","10,999,499,776","EUR","Analyze"
"GF:AFX","Carl Zeiss Meditec AG","AFX","12/04/2006","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE0005313704","5922961","10,893,864,960","EUR","Analyze"
"GF:BNR","Brenntag AG","BNR","03/29/2010","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000A1DAHH0","B4YVF56","10,840,488,960","EUR","Analyze"
