"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"LN:BHP","BHP Group Plc","BHP","11/26/2018","Global Equity","Common stocks","Developed markets ex-US","Materials","GB00BH0P3Z91","BH0P3Z9","191,296,356,352","GBP","Analyze"
"LN:SHEL","Royal Dutch Shell plc","SHEL","01/02/1985","Global Equity","Comon stocks","Developed markets ex-US","Energy","GB00B03MLX29","","174,829,305,856","GBP","Analyze"
"LN:AZN","AstraZeneca PLC","AZN","05/12/1993","Global Equity","Common stocks","Developed markets ex-US","Health Care","GB0009895292","0989529","162,600,337,408","GBP","Analyze"
"LN:RDSA","Royal Dutch Shell plc","RDSA","01/02/1985","Global Equity","Common stocks","Developed markets ex-US","Energy","GB00B03MLX29","B03MLX2","145,108,058,112","GBP","Analyze"
"LN:RDSB","Royal Dutch Shell plc","RDSB","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Energy","GB00B03MM408","B03MM40","145,107,976,192","GBP","Analyze"
"LN:HSBA","HSBC Holdings plc","HSBA","06/11/1992","Global Equity","Common stocks","Developed markets ex-US","Financials","GB0005405286","0540528","100,336,189,440","GBP","Analyze"
"LN:ULVR","Unilever PLC","ULVR","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","GB00B10RZP78","B10RZP7","89,899,671,552","GBP","Analyze"
"LN:GSK","GlaxoSmithKline plc","GSK","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Health Care","GB0009252882","0925288","89,681,231,872","GBP","Analyze"
"LN:RIO","Rio Tinto plc","RIO","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Materials","GB0007188757","0718875","88,543,567,872","GBP","Analyze"
"LN:DGE","Diageo plc","DGE","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","GB0002374006","0237400","82,594,603,008","GBP","Analyze"
"LN:BP","BP p.l.c","BP","01/04/2000","Global Equity","Common stocks","Developed markets ex-US","Energy","GB0007980591","0798059","81,892,728,832","GBP","Analyze"
"LN:BATS","British American Tobacco p.l.c","BATS","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","GB0002875804","0287580","78,589,403,136","GBP","Analyze"
"LN:GLEN","Glencore Plc","GLEN","05/19/2011","Global Equity","Common stocks","Developed markets ex-US","Materials","JE00B4T3BW64","B4T3BW6","65,416,445,952","GBP","Analyze"
"LN:AAL","Anglo American plc","AAL","05/24/1999","Global Equity","Common stocks","Developed markets ex-US","Materials","GB00B1XZS820","B1XZS82","47,129,632,768","GBP","Analyze"
"LN:NG","National Grid plc","NG","01/04/2000","Global Equity","Common stocks","Developed markets ex-US","Utilities","GB00BDR05C01","BDR05C0","44,215,025,664","GBP","Analyze"
"LN:REL","RELX PLC","REL","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB00B2B0DG97","B2B0DG9","43,967,111,168","GBP","Analyze"
"LN:RKT","Reckitt Benckiser Group plc","RKT","01/02/1986","Global Equity","Comon stocks","Developed markets ex-US","Consumer Staples","GB00B24CGK77","","43,698,171,904","GBP","Analyze"
"LN:LSE","London Stock Exchange Group plc","LSE","07/20/2001","Global Equity","Common stocks","Developed markets ex-US","Financials","GB00B0SWJX34","B0SWJX3","39,983,177,728","GBP","Analyze"
"LN:LSEG","London Stock Exchange Group plc","LSEG","07/20/2001","Global Equity","Common stocks","Developed markets ex-US","Financials","GB00B0SWJX34","","36,824,137,728","GBP","Analyze"
"LN:VOD","Vodafone Group Plc","VOD","10/26/1988","Global Equity","Common stocks","Developed markets ex-US","Communication Services","GB00BH4HKS39","BH4HKS3","33,391,978,496","GBP","Analyze"
"LN:LLOY","Lloyds Banking Group plc","LLOY","09/01/1987","Global Equity","Common stocks","Developed markets ex-US","Financials","GB0008706128","0870612","30,180,573,184","GBP","Analyze"
"LN:CPG","Compass Group PLC","CPG","02/02/2001","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","GB00BD6K4575","BD6K457","30,118,817,792","GBP","Analyze"
"LN:PRU","Prudential plc","PRU","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Financials","GB0007099541","0709954","27,658,057,728","GBP","Analyze"
"LN:BARC","Barclays PLC","BARC","01/03/1986","Global Equity","Common stocks","Developed markets ex-US","Financials","GB0031348658","3134865","25,598,926,848","GBP","Analyze"
"LN:CRH","CRH plc","CRH","01/04/1999","Global Equity","Common stocks","Developed markets ex-US","Materials","IE0001827041","0182704","23,900,020,736","GBP","Analyze"
"LN:BA","BAE Systems plc","BA","01/04/2000","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB0002634946","0263494","23,878,445,056","GBP","Analyze"
"LN:EXPN","Experian plc","EXPN","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB00B19NLV48","B19NLV4","23,543,230,464","GBP","Analyze"
"LN:NWG","NatWest Group plc","NWG","01/02/1986","Global Equity","Comon stocks","Developed markets ex-US","Financials","GB00B7T77214","","22,227,441,664","GBP","Analyze"
"LN:SSE","SSE plc","SSE","06/18/1991","Global Equity","Common stocks","Developed markets ex-US","Utilities","GB0007908733","0790873","20,419,188,736","GBP","Analyze"
"LN:FERG","Ferguson plc","FERG","01/03/1986","Global Equity","Common stocks","Developed markets ex-US","Industrials","JE00BJVNSS43","BJVNSS4","20,363,825,152","GBP","Analyze"
"LN:TSCO","Tesco PLC","TSCO","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","GB0008847096","0884709","19,783,688,192","GBP","Analyze"
"LN:BT-A","BT Group plc","BT-A","12/31/1999","Global Equity","Common stocks","Developed markets ex-US","Communication Services","GB0030913577","3091357","18,364,950,528","GBP","Analyze"
"LN:STAN","Standard Chartered PLC","STAN","01/06/1986","Global Equity","Common stocks","Developed markets ex-US","Financials","GB0004082847","0408284","17,428,940,800","GBP","Analyze"
"LN:AHT","Ashtead Group plc","AHT","12/31/1986","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB0000536739","0053673","17,056,183,296","GBP","Analyze"
"LN:IMB","Imperial Brands PLC","IMB","10/01/1996","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","GB0004544929","0454492","17,017,055,232","GBP","Analyze"
"LN:KYGA","Kerry Group plc","KYGA","11/06/1986","Global Equity","Common stocks","Developed markets ex-US","Unknown","IE0004906560","0490656","16,694,747,136","GBP","Analyze"
"LN:LGEN","Legal & General Group Plc","LGEN","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Financials","GB0005603997","0560399","14,979,957,760","GBP","Analyze"
"LN:RBS","The Royal Bank of Scotland Group plc","RBS","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Financials","GB00B7T77214","B7T7721","14,659,125,248","GBP","Analyze"
"LN:ANTO","Antofagasta plc","ANTO","01/09/1986","Global Equity","Common stocks","Developed markets ex-US","Materials","GB0000456144","0045614","14,023,816,192","GBP","Analyze"
"LN:SGRO","SEGRO Plc","SGRO","01/02/1986","Global Equity","REITs","Developed markets ex-US","Real Estate","GB00B5ZN1N88","B5ZN1N8","13,157,516,288","GBP","Analyze"
"LN:ABF","Associated British Foods plc","ABF","01/03/1986","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","GB0006731235","0673123","12,777,618,432","GBP","Analyze"
"LN:AV","Aviva plc","AV","01/04/2000","Global Equity","Common stocks","Developed markets ex-US","Financials","GB0002162385","0216238","11,548,525,568","GBP","Analyze"
"LN:CCL","Carnival plc","CCL","10/23/2000","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","GB0031215220","3121522","11,478,452,224","GBP","Analyze"
"LN:III","3i Group Plc","III","07/18/1994","Global Equity","Common stocks","Developed markets ex-US","Financials","GB00B1YW4409","B1YW440","11,464,802,304","GBP","Analyze"
"LN:SN","Smith & Nephew plc","SN","01/04/2000","Global Equity","Common stocks","Developed markets ex-US","Health Care","GB0009223206","0922320","11,205,644,288","GBP","Analyze"
"LN:WPP","WPP plc","WPP","01/03/1986","Global Equity","Common stocks","Developed markets ex-US","Communication Services","JE00B8KF9B49","B8KF9B4","10,555,649,024","GBP","Analyze"
"LN:CRDA","Croda International Plc","CRDA","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Materials","GB00BYZWX769","BYZWX76","9,473,340,416","GBP","Analyze"
"LN:BNZL","Bunzl plc","BNZL","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB00B0744B38","B0744B3","9,336,079,360","GBP","Analyze"
"LN:RTO","Rentokil Initial plc","RTO","01/07/1986","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB00B082RF11","B082RF1","9,142,086,656","GBP","Analyze"
"LN:IHG","InterContinental Hotels Group PLC","IHG","03/31/2003","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","GB00BHJYC057","BHJYC05","8,575,145,984","GBP","Analyze"
"LN:ENT","Entain Plc","ENT","12/21/2004","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","IM00B5VQMV65","","8,253,807,104","GBP","Analyze"
"LN:HLMA","Halma plc","HLMA","01/03/1986","Global Equity","Common stocks","Developed markets ex-US","Information Technology","GB0004052071","0405207","8,150,977,536","GBP","Analyze"
"LN:SKG","Smurfit Kappa Group plc","SKG","03/14/2007","Global Equity","Common stocks","Developed markets ex-US","Materials","IE00B1RR8406","B1RR840","8,088,516,608","GBP","Analyze"
"LN:INF","Informa plc","INF","04/17/1998","Global Equity","Common stocks","Developed markets ex-US","Communication Services","GB00BMJ6DW54","BMJ6DW5","8,088,299,520","GBP","Analyze"
"LN:NXT","NEXT plc","NXT","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","GB0032089863","3208986","8,031,832,576","GBP","Analyze"
"LN:ITRK","Intertek Group plc","ITRK","05/24/2002","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB0031638363","3163836","7,982,497,280","GBP","Analyze"
"LN:SPX","Spirax-Sarco Engineering plc","SPX","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB00BWFGQN14","BWFGQN1","7,778,624,512","GBP","Analyze"
"LN:SDRC","Schroders plc","SDRC","05/12/1986","Global Equity","Common stocks","Developed markets ex-US","Financials","GB0002395811","0239581","7,726,484,480","GBP","Analyze"
"LN:SDR","Schroders plc","SDR","01/03/1986","Global Equity","Common stocks","Developed markets ex-US","Financials","GB0002405495","0240549","7,715,732,992","GBP","Analyze"
"LN:UU","United Utilities Group PLC","UU","01/04/2000","Global Equity","Common stocks","Developed markets ex-US","Utilities","GB00B39J2M42","B39J2M4","7,712,153,088","GBP","Analyze"
"LN:SVT","Severn Trent Plc","SVT","12/12/1989","Global Equity","Common stocks","Developed markets ex-US","Utilities","GB00B1FH8J72","B1FH8J7","7,701,638,656","GBP","Analyze"
"LN:MNDI","Mondi plc","MNDI","07/02/2007","Global Equity","Common stocks","Developed markets ex-US","Materials","GB00B1CRLC47","B1CRLC4","7,229,898,752","GBP","Analyze"
"LN:RSA","RSA Insurance Group plc","RSA","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Financials","GB00BKKMKR23","BKKMKR2","7,161,247,744","GBP","Analyze"
"LN:RR","Rolls-Royce Holdings plc","RR","01/04/2000","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB00B63H8491","B63H849","7,104,929,280","GBP","Analyze"
"LN:MRW","Wm Morrison Supermarkets PLC","MRW","01/07/1986","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","GB0006043169","0604316","6,929,619,456","GBP","Analyze"
"LN:SGE","The Sage Group plc","SGE","12/14/1989","Global Equity","Common stocks","Developed markets ex-US","Information Technology","GB00B8C3BL03","B8C3BL0","6,791,260,160","GBP","Analyze"
"LN:PSN","Persimmon Plc","PSN","01/03/1986","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","GB0006825383","0682538","6,769,203,200","GBP","Analyze"
"LN:STJ","St. James's Place plc","STJ","08/28/1990","Global Equity","Common stocks","Developed markets ex-US","Financials","GB0007669376","0766937","6,697,226,240","GBP","Analyze"
"LN:ADM","Admiral Group plc","ADM","09/23/2004","Global Equity","Common stocks","Developed markets ex-US","Financials","GB00B02J6398","B02J639","6,585,678,336","GBP","Analyze"
"LN:AVV","AVEVA Group plc","AVV","12/05/1996","Global Equity","Common stocks","Developed markets ex-US","Information Technology","GB00BBG9VN75","BBG9VN7","6,572,387,328","GBP","Analyze"
"LN:BRBY","Burberry Group plc","BRBY","07/12/2002","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","GB0031743007","3174300","6,425,013,248","GBP","Analyze"
"LN:JD","JD Sports Fashion plc","JD","12/31/1999","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","GB00BYX91H57","BYX91H5","6,337,806,336","GBP","Analyze"
"LN:PHNX","Phoenix Group Holdings","PHNX","11/23/2009","Global Equity","Common stocks","Developed markets ex-US","Financials","KYG7091M1096","B45JKK9","6,259,232,768","GBP","Analyze"
"LN:CCH","Coca-Cola HBC AG","CCH","04/29/2013","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","CH0198251305","B9895B7","6,186,951,168","GBP","Analyze"
"LN:GVC","GVC Holdings PLC","GVC","12/21/2004","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","IM00B5VQMV65","B5VQMV6","6,081,396,736","GBP","Analyze"
"LN:MGGT","Meggitt PLC","MGGT","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB0005758098","0575809","6,051,608,576","GBP","Analyze"
"LN:JE","Just Eat plc","JE","04/03/2014","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","GB00BKX5CN86","BKX5CN8","5,855,667,712","GBP","Analyze"
"LN:FRES","Fresnillo PLC","FRES","05/09/2008","Global Equity","Common stocks","Developed markets ex-US","Materials","GB00B2QPKJ12","B2QPKJ1","5,780,196,352","GBP","Analyze"
"LN:SMIN","Smiths Group plc","SMIN","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Industrials","GB00B1WY2338","B1WY233","5,771,643,904","GBP","Analyze"
"LN:OCDO","Ocado Group plc","OCDO","07/21/2010","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","GB00B3MBS747","B3MBS74","5,675,522,048","GBP","Analyze"
"LN:PSON","Pearson plc","PSON","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","GB0006776081","0677608","5,662,218,752","GBP","Analyze"
"LN:LAND","Land Securities Group plc","LAND","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Real Estate","GB00BYW0PQ60","BYW0PQ6","5,590,841,856","GBP","Analyze"
"LN:DCC","DCC plc","DCC","05/20/1994","Global Equity","Common stocks","Developed markets ex-US","Industrials","IE0002424939","0242493","5,589,277,184","GBP","Analyze"
"LN:AAF","Airtel Africa Plc","AAF","06/28/2019","Global Equity","Common stocks","Developed markets ex-US","Communication Services","GB00BKDRYJ47","BKDRYJ4","5,449,317,376","GBP","Analyze"
"LN:SBRY","J Sainsbury plc","SBRY","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","GB00B019KW72","B019KW7","5,442,317,312","GBP","Analyze"
"LN:WTB","Whitbread PLC","WTB","01/02/1986","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","GB00B1KJJ408","B1KJJ40","5,424,183,296","GBP","Analyze"
"LN:MNG","M&G Plc","MNG","10/21/2019","Global Equity","Common stocks","Developed markets ex-US","Financials","GB00BKFB1C65","BKFB1C6","5,414,685,696","GBP","Analyze"
"LN:CNA","Centrica plc","CNA","02/10/1997","Global Equity","Common stocks","Developed markets ex-US","Utilities","GB00B033F229","B033F22","5,195,011,584","GBP","Analyze"
"LN:AUTO","Auto Trader Group plc","AUTO","03/19/2015","Global Equity","Common stocks","Developed markets ex-US","Communication Services","GB00BVYVFW23","BVYVFW2","5,192,719,360","GBP","Analyze"
"LN:AIBG","AIB Group PLC","AIBG","06/23/2017","Global Equity","Common stocks","Developed markets ex-US","Financials","IE00BF0L3536","BF4KR65","5,169,505,792","GBP","Analyze"
