"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"AAPL","Apple Inc","","02/01/2001","US Equity","Common stocks","Large cap","Information Technology","US0378331005","2046251","2,514,581,877,780","USD","Analyze"
"MSFT","Microsoft Corp","","02/26/2001","US Equity","Common stocks","Large cap","Information Technology","US5949181045","2588173","2,066,846,488,973","USD","Analyze"
"GOOG","Alphabet Inc Class C","","08/19/2004","US Equity","Common stocks","Large cap","Communication Services","US02079K1079","BYY88Y7","1,263,113,280,000","USD","Analyze"
"GOOGL","Alphabet Inc Class A","","08/19/2004","US Equity","Common stocks","Large cap","Communication Services","US02079K3059","BYVY8G0","1,263,113,280,000","USD","Analyze"
"AMZN","Amazon.Com Inc.","","02/06/2001","US Equity","Common stocks","Large cap","Consumer Discretionary","US0231351067","2000019","1,011,507,010,613","USD","Analyze"
"NVDA","Nvidia Corp","","01/22/1999","US Equity","Common stocks","Large cap","Information Technology","US67066G1040","2379504","671,617,700,000","USD","Analyze"
"TSLA","Tesla Inc","","06/28/2010","US Equity","Common stocks","Large cap","Consumer Discretionary","US88160R1014","B616C79","602,315,612,050","USD","Analyze"
"FB","Facebook Inc Class A","","05/17/2012","US Equity","Common stocks","Large cap","Communication Services","US30303M1027","B7TL820","561,210,585,170","USD","Analyze"
"META","Meta Platforms, Inc.","","06/29/2021","US Equity","Common stocks","Large cap","Communication Services","US30303M1027","B7TL820","549,513,200,000","USD","Analyze"
"ASML","ASML Holding NV ADRs","","08/24/2001","US Equity","ADRs","Large cap","Information Technology","USN070592100","B908F01","267,748,285,508","USD","Analyze"
"AVGO","Broadcom Inc.","","02/11/2013","US Equity","Common stocks","Large cap","Information Technology","US11135F1012","BDZ78H9","266,510,113,739","USD","Analyze"
"PEP","Pepsico Inc","","03/02/2001","US Equity","Common stocks","Large cap","Consumer Staples","US7134481081","2681511","241,925,319,151","USD","Analyze"
"COST","Costco Wholesale Corp","","02/12/2001","US Equity","Common stocks","Large cap","Consumer Staples","US22160K1051","2701271","216,313,368,071","USD","Analyze"
