"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"BRK.A","Berkshire Hathaway Inc. Class A","","02/11/2013","US Equity","Common stocks","Large cap","Financials","","2093666","654,571,252,838","USD","Analyze"
"BRK.B","Berkshire Hathaway Inc. Class B","","02/09/2001","US Equity","Common stocks","Large cap","Financials","US0846707026","2073390","654,571,252,838","USD","Analyze"
"TSM","Taiwan Semiconductor Manufacturing Co Ltd ADRs","","08/27/2001","US Equity","ADRs","Large cap","Information Technology","US8740391003","2113382","490,590,845,820","USD","Analyze"
"JNJ","Johnson & Johnson","","02/22/2001","US Equity","Common stocks","Large cap","Health Care","US4781601046","2475833","471,501,804,279","USD","Analyze"
"UNH","Unitedhealth Group Inc","","03/12/2001","US Equity","Common stocks","Large cap","Health Care","US91324P1021","2917766","438,353,946,746","USD","Analyze"
"XOM","Exxon Mobil Corp","","03/13/2001","US Equity","Common stocks","Large cap","Energy","US30231G1022","2326618","420,980,557,609","USD","Analyze"
"V","Visa Inc Class A","","03/19/2008","US Equity","Common stocks","Large cap","Information Technology","US92826C8394","B2PZN04","420,787,379,804","USD","Analyze"
"WMT","Walmart Stores Inc","","03/13/2001","US Equity","Common stocks","Large cap","Consumer Staples","US9311421039","2936921","379,144,006,976","USD","Analyze"
"JPM","JP Morgan Chase & Co","","02/23/2001","US Equity","Common stocks","Large cap","Financials","US46625H1005","2190385","373,335,206,420","USD","Analyze"
"PG","Procter & Gamble","","04/24/2001","US Equity","Common stocks","Large cap","Consumer Staples","US7427181091","2704407","339,221,329,564","USD","Analyze"
"MA","Mastercard Inc Class A","","05/25/2006","US Equity","Common stocks","Large cap","Information Technology","US57636Q1040","B121557","335,135,859,510","USD","Analyze"
"LLY","Eli Lilly","","02/26/2001","US Equity","Common stocks","Large cap","Health Care","US5324571083","2516152","316,106,512,334","USD","Analyze"
"CVX","Chevron Corp","","10/10/2001","US Equity","Common stocks","Large cap","Energy","US1667641005","2838555","294,619,273,279","USD","Analyze"
"HD","Home Depot Inc","","02/21/2001","US Equity","Common stocks","Large cap","Consumer Discretionary","US4370761029","2434209","288,156,017,708","USD","Analyze"
"ABBV","Abbvie Inc","","12/10/2012","US Equity","Common stocks","Large cap","Health Care","US00287Y1091","B92SR70","273,971,219,521","USD","Analyze"
"MRK","Merck & Co Inc","","02/26/2001","US Equity","Common stocks","Large cap","Health Care","US58933Y1055","2778844","264,597,492,835","USD","Analyze"
"NVO","Novo Nordisk A/S ADRs","","09/05/2001","US Equity","ADRs","Large cap","Health Care","US6701002056","","260,652,723,120","USD","Analyze"
"KO","Coca-Cola","","02/23/2001","US Equity","Common stocks","Large cap","Consumer Staples","US1912161007","2206657","259,232,228,017","USD","Analyze"
"ORCL","Oracle Corp","","03/01/2001","US Equity","Common stocks","Large cap","Information Technology","US68389X1054","2661568","236,988,619,560","USD","Analyze"
"BABA","Alibaba Group Holding Ltd ADRs","","09/19/2014","US Equity","ADRs","Large cap","Consumer Discretionary","US01609W1027","BP41ZD1","229,116,943,020","USD","Analyze"
"PFE","Pfizer Inc","","03/17/1980","US Equity","Common stocks","Large cap","Health Care","US7170811035","2684703","226,792,087,106","USD","Analyze"
"TM","Toyota Motor Corp ADRs","","02/11/2013","US Equity","ADRs","Large cap","Consumer Discretionary","US8923313071","2898957","221,671,734,619","USD","Analyze"
"BAC","Bank of America Corp","","02/08/2001","US Equity","Common stocks","Large cap","Financials","US0605051046","2295677","215,863,543,817","USD","Analyze"
"TMO","Thermo Fisher Scientific Inc","","03/08/2001","US Equity","Common stocks","Large cap","Health Care","US8835561023","2886907","213,986,924,450","USD","Analyze"
"NVS","Novartis AG ADRs","","09/05/2001","US Equity","ADRs","Large cap","Health Care","US66987V1098","2620105","198,331,040,503","USD","Analyze"
"MCD","Mcdonalds Corp","","02/27/2001","US Equity","Common stocks","Large cap","Consumer Discretionary","US5801351017","2550707","197,226,207,929","USD","Analyze"
"SHEL","Royal Dutch Shell PLC ADRs","","03/17/1980","US Equity","ADRs","Large cap","Energy","","","193,525,585,442","USD","Analyze"
"NKE","Nike Inc Class B","","02/27/2001","US Equity","Common stocks","Large cap","Consumer Discretionary","US6541061031","2640147","188,713,200,000","USD","Analyze"
"CRM","Salesforce.Com Inc","","06/23/2004","US Equity","Common stocks","Large cap","Information Technology","US79466L3024","2310525","187,440,000,000","USD","Analyze"
"DHR","Danaher Corp","","02/14/2001","US Equity","Common stocks","Large cap","Health Care","US2358511028","2250870","179,907,490,460","USD","Analyze"
"ACN","Accenture Plc Class A","","07/19/2001","US Equity","Common stocks","Large cap","Information Technology","IE00B4BNMY34","B4BNMY3","178,857,823,442","USD","Analyze"
"DIS","Walt Disney","","02/14/2001","US Equity","Common stocks","Large cap","Communication Services","US2546871060","2270726","175,062,936,563","USD","Analyze"
"ABT","Abbott Laboratories","","02/05/2001","US Equity","Common stocks","Large cap","Health Care","US0028241000","2002305","168,650,302,450","USD","Analyze"
"UPS","United Parcel Service Inc Class B","","03/12/2001","US Equity","Common stocks","Large cap","Industrials","US9113121068","2517382","160,260,685,496","USD","Analyze"
"LIN","Linde Plc","","10/31/2018","US Equity","Common stocks","Large cap","Materials","IE00BZ12WP82","BNZHB81","158,448,861,184","USD","Analyze"
"VZ","Verizon Communications Inc","","03/13/2001","US Equity","Common stocks","Large cap","Communication Services","US92343V1044","2090571","156,949,625,356","USD","Analyze"
"SAP","SAP SE ADRs","","02/11/2013","US Equity","ADRs","Large cap","Information Technology","DE0007164600","4846288","152,015,113,668","USD","Analyze"
"NEE","Nextera Energy Inc","","03/17/1980","US Equity","Common stocks","Large cap","Utilities","US65339F1012","2328915","146,697,028,536","USD","Analyze"
"BHP","BHP Billiton Ltd ADRs","","08/29/2001","US Equity","ADRs","Large cap","Materials","US0886061086","2144337","145,920,961,116","USD","Analyze"
"MS","Morgan Stanley","","02/27/2001","US Equity","Common stocks","Large cap","Financials","US6174464486","2262314","144,377,742,905","USD","Analyze"
"MS-P","Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 6.500% Non-Cumulative Preferred Stock, Series P","","07/28/2022","US Equity","Preferred stocks","Non-convertible","Unknown","","","144,377,742,905","USD","Analyze"
"TTE","TotalEnergies SE ADRs","","10/25/1991","US Equity","ADRs","Large cap","Energy","","","142,094,351,089","USD","Analyze"
"BMY","Bristol Myers Squibb","","02/09/2001","US Equity","Common stocks","Large cap","Health Care","US1101221083","2126335","140,576,015,006","USD","Analyze"
"CELG^","Bristol-Myers Squibb Company Celegne Contingent Value Rights","","12/02/2019","US Equity","Rights","Large cap","Unknown","","","140,576,015,006","USD","Analyze"
"RTX","Raytheon Technologies Corporation","","12/31/1999","US Equity","Common stocks","Large cap","Industrials","US75513E1010","BM5M5Y3","140,467,974,240","USD","Analyze"
"PM","Philip Morris International Inc","","03/17/2008","US Equity","Common stocks","Large cap","Consumer Staples","US7181721090","B2PKRQ3","139,939,523,432","USD","Analyze"
"WFC","Wells Fargo","","03/13/2001","US Equity","Common stocks","Large cap","Financials","US9497461015","2649100","138,279,185,456","USD","Analyze"
"HSBC","HSBC Holdings PLC ADRs","","09/04/2001","US Equity","ADRs","Large cap","Financials","US4042804066","B0L5JR3","133,727,686,662","USD","Analyze"
"T","AT&T Inc.","","03/07/2001","US Equity","Common stocks","Large cap","Communication Services","US00206R1023","2831811","131,619,800,000","USD","Analyze"
"UL","Unilever PLC ADRs","","02/11/2013","US Equity","ADRs","Large cap","Consumer Staples","US9047677045","2416520","128,985,291,555","USD","Analyze"
"RY","Royal Bank Of Canada","","02/11/2013","US Equity","Common stocks","Large cap","Financials","CA7800871021","2754383","128,853,747,658","USD","Analyze"
"AXP","American Express","","02/08/2001","US Equity","Common stocks","Large cap","Financials","US0258161092","2026082","121,104,161,489","USD","Analyze"
"LMT","Lockheed Martin Corp","","08/06/2001","US Equity","Common stocks","Large cap","Industrials","US5398301094","2522096","119,089,413,898","USD","Analyze"
"BA","Boeing","","02/08/2001","US Equity","Common stocks","Large cap","Industrials","US0970231058","2108601","118,577,142,351","USD","Analyze"
"HDB","HDFC Bank Ltd ADRs","","07/20/2001","US Equity","ADRs","Large cap","Financials","US40415F1012","2781648","117,939,043,716","USD","Analyze"
"LOW","Lowes Companies Inc","","08/06/2001","US Equity","Common stocks","Large cap","Consumer Discretionary","US5486611073","2536763","117,740,690,554","USD","Analyze"
"COP","ConocoPhillips","","02/13/2001","US Equity","Common stocks","Large cap","Energy","US20825C1045","2685717","117,514,429,551","USD","Analyze"
"ANTM","Anthem Inc","","10/30/2001","US Equity","Common stocks","Large cap","Materials","US0367521038","BSPHGL4","116,342,693,132","USD","Analyze"
"DE","Deere & Company","","02/14/2001","US Equity","Common stocks","Large cap","Industrials","US2441991054","2261203","116,113,882,675","USD","Analyze"
"UNP","Union Pacific Corp","","03/12/2001","US Equity","Common stocks","Large cap","Industrials","US9078181081","2914734","113,930,749,062","USD","Analyze"
"CAT","Caterpillar Inc","","02/12/2001","US Equity","Common stocks","Large cap","Industrials","US1491231015","2180201","113,306,854,326","USD","Analyze"
"IBM","International Business Machines Co","","02/21/2001","US Equity","Common stocks","Large cap","Information Technology","US4592001014","2005973","111,909,619,229","USD","Analyze"
"SONY","Sony Group Corporation ADRs","","03/17/1980","US Equity","ADRs","Large cap","Consumer Discretionary","","","111,315,688,809","USD","Analyze"
"SPGI","S&P Global Inc","","03/06/2001","US Equity","Common stocks","Large cap","Financials","US78409V1044","BYV2325","110,639,250,000","USD","Analyze"
"BP","BP PLC ADRs","","08/29/2001","US Equity","ADRs","Large cap","Energy","US0556221044","2142621","109,308,952,860","USD","Analyze"
"BUD","Anheuser-Busch InBev SA/NV ADRs","","01/02/2001","US Equity","ADRs","Large cap","Consumer Staples","US03524A1088","B3P93Y7","107,445,554,973","USD","Analyze"
"ELV","Elevance Health, Inc.","","10/30/2001","US Equity","Common stocks","Large cap","Health Care","US0367521038","BSPHGL4","105,977,405,429","USD","Analyze"
"PLD","Prologis, Inc","","03/01/2001","US Equity","REITs","Large cap","Real Estate","US74340W1036","B44WZD7","105,409,420,350","USD","Analyze"
"GS","Goldman Sachs Group Inc","","02/21/2001","US Equity","Common stocks","Large cap","Financials","US38141G1040","2407966","105,095,298,447","USD","Analyze"
"SYK","Stryker Corp","","03/07/2001","US Equity","Common stocks","Large cap","Health Care","US8636671013","2853688","103,905,834,976","USD","Analyze"
"MDT","Medtronic Plc","","01/02/2001","US Equity","Common stocks","Large cap","Health Care","IE00BTN1Y115","BTN1Y11","103,200,967,030","USD","Analyze"
"TD","The Toronto-Dominion Bank","","02/11/2013","US Equity","Common stocks","Large cap","Financials","CA8911605092","2042516","103,142,161,536","USD","Analyze"
"DEO","Diageo PLC ADRs","","08/30/2001","US Equity","ADRs","Large cap","Consumer Staples","US25243Q2057","2144724","99,985,102,929","USD","Analyze"
"GE","General Electric","","03/17/1980","US Equity","Common stocks","Large cap","Industrials","US3696043013","BL59CR9","99,859,013,559","USD","Analyze"
"BLK","Blackrock Inc","","02/09/2001","US Equity","Common stocks","Large cap","Financials","US09247X1019","2494504","97,921,063,194","USD","Analyze"
"SCHW","Charles Schwab Corporation","","01/02/2003","US Equity","Common stocks","Large cap","Financials","US8085131055","2779397","94,749,704,660","USD","Analyze"
"CVS","CVS Health Corp","","02/13/2001","US Equity","Common stocks","Large cap","Health Care","US1266501006","2577609","92,931,161,341","USD","Analyze"
"NOW","Servicenow Inc","","07/10/2007","US Equity","Common stocks","Large cap","Information Technology","US81762P1021","B80NXX8","89,415,410,000","USD","Analyze"
"AMT","American Tower Corporation","","01/02/2001","US Equity","REITs","Large cap","Real Estate","US03027X1000","B7FBFL2","89,227,097,059","USD","Analyze"
"EQNR","Equinor ASA ADRs","","08/26/2013","US Equity","ADRs","Large cap","Energy","NO0010096985","7133608","87,166,655,865","USD","Analyze"
"TJX","TJX Companies, Inc.","","03/17/1980","US Equity","Common stocks","Large cap","Consumer Discretionary","US8725401090","2989301","86,235,274,640","USD","Analyze"
