ticker,zacks_rank
AACG,
ABB,3
ABCM,2
ABEV,2
ACH,
ADAG,3
ADAP,4
ADXN,
AEG,2
AENZ,
AHG,
AHI,
AIH,
AIU,
AIXI,
AKO.A,
AKO.B,3
AKTX,3
ALAR,3
AMAM,2
AMBO,
AMOV,
AMRN,3
AMTD,
AMX,2
AMYT,
ANPC,
ANTE,
ARBK,3
ARGX,3
ASAI,4
ASLN,3
ASML,3
ASND,2
ASR,3
ASX,4
ATHE,3
ATHM,3
AU,5
AUTL,4
AVAL,4
AVDL,4
AZN,3
BABA,3
BAK,3
BBD,4
BBDO,
BBVA,3
BCH,3
BCS,3
BCYC,3
BEDU,
BEKE,1
BEST,
BGNE,3
BHP,3
BIDU,3
BILI,3
BLCT,
BLRX,
BLTE,4
BMA,3
BNOX,3
BNR,
BNTX,3
BP,5
BPTS,3
BQ,
BRFS,4
BSAC,3
BSBR,3
BSMX,
BTCM,3
BTI,3
BUD,3
BVN,4
BVXV,
BWAY,2
BZ,3
BZUN,3
CAJ,5
CALT,3
CAN,3
CANF,3
CANG,
CBD,4
CCM,
CCU,3
CD,3
CEA,
CEPU,4
CHT,
CIAN,
CIB,2
CIG,3
CIG.C,
CIH,
CLGN,3
CLLS,3
CMCM,
CMMB,3
CMPS,3
CNF,3
CNTA,3
CNTB,3
COE,
CPAC,
CRESY,
CRH,3
CRTO,3
CS,4
CSAN,4
CUK,
CX,2
CYAD,
DADA,4
DAO,
DAVA,3
DBVT,4
DDI,1
DDL,4
DEO,3
DIDI,
DOYU,2
DQ,5
DRD,
DUO,
DXF,
E,3
EBR,4
EBR.B,
EC,4
EDAP,3
EDN,4
EDU,1
EH,
ELP,4
EM,
ENIA,
ENIC,
EQNR,5
ERIC,3
ERJ,3
ERYP,2
EVAX,3
EVO,4
EXAI,3
FANH,
FEDU,
FENG,
FHS,
FINV,
FLJ,
FMS,2
FMX,1
FORTY,
FRSX,
FUTU,3
FWP,
GDS,2
GEHI,
GENE,
GET,
GFI,3
GGAL,4
GGB,2
GHG,
GLPG,3
GMAB,3
GNFT,4
GOL,3
GOTU,
GRCL,2
GRFS,3
GRFX,
GRVY,
GSK,3
GSK#,
GTH,
HCM,3
HDB,5
HEPS,
HHR,
HIMX,
HKD,
HLG,
HLN,3
HLN#,
HMC,3
HMY,3
HNP,5
HSBC,2
HTHT,3
HUIZ,
HUYA,3
HYW,
IBA,
IBN,1
ICLK,
IH,
IHG,2
IMAB,3
IMCR,3
IMMP,3
IMOS,
IMRN,
INFY,4
ING,1
IONR,
IPHA,3
IQ,4
IRCP,3
IRS,
ITCB,
ITUB,2
IVA,4
IX,4
IXHL,3
JD,2
JFIN,
JFU,
JG,
JHX,1
JKS,3
JMIA,4
JP,
JT,
KB,2
KC,3
KEP,
KOF,2
KRKR,
KT,4
KUKE,
KZIA,3
LBPS,3
LEGN,2
LEJU,
LFC,2
LGHL,
LI,3
LIAN,3
LITB,
LIZI,
LND,
LOMA,3
LOV,
LPL,4
LU,3
LX,
LXEH,
LYG,3
MBT,3
MDGS,
MDXH,3
MESO,4
MF,
MFG,4
MFGP,1
MFH,
MITC,
MITO,3
MIXT,3
MLCO,
MNSO,2
MOGU,
MOHO,
MOLN,4
MOMO,2
MOR,3
MREO,3
MRM,
MSC,
MT,3
MTL,
MTLS,
MTP,
MUFG,4
MYNA,3
MYTE,4
NA,
NAAS,
NBTX,
NCNA,3
NCTY,
NGG,3
NICE,3
NIO,3
NIU,3
NMR,4
NNDM,
NOAH,
NOK,3
NTCO,3
NTES,1
NTZ,
NVO,2
NVS,3
NVX,
NWG,5
NWG#,
OCFT,3
OG,
OIIM,
OKYO,
OLK,3
OMAB,1
OPRA,
OPT,3
ORAN,2
ORTX,2
OTLY,3
OZON,
PAC,1
PAM,3
PBR,3
PBR.A,
PDD,3
PHAR,3
PHG,1
PHI,3
PKX,2
PPBT,3
PRTC,3
PSO,2
PT,
PTNR,
PTR,4
PUK,5
PUYI,
QD,
QFIN,3
QH,
QIWI,
QK,
QNRX,
QTT,
RAAS,
RDHL,
RDY,1
REDU,3
RELX,2
RENN,3
RERE,
RIO,3
RLX,
RNLX,3
RTO,3
RYAAY,3
RYB,3
SAN,3
SAP,3
SBS,
SE,5
SECO,
SFET,
SHEL,3
SHG,2
SHI,
SID,3
SIFY,4
SIM,
SIMO,3
SKM,2
SLN,3
SMFG,3
SMMT,
SNN,4
SNP,3
SNY,3
SOHU,3
SOL,3
SONY,3
SOS,
SQM,3
SQNS,3
SSL,4
STG,
STKH,
STM,3
SUPV,3
SUZ,2
SY,
Symbol,
TAK,2
TAL,3
TC,
TCOM,1
TDCX,3
TEDU,
TEF,3
TEO,3
TEVA,3
TGS,3
TIGR,
TIMB,3
TKC,4
TLK,4
TLSA,
TM,3
TME,4
TOUR,
TRIB,4
TRMR,3
TRVG,4
TS,3
TSM,4
TTE,5
TTM,2
TUYA,3
TV,4
TX,3
UBS,3
UCL,3
UGP,4
UL,2
UMC,3
UXIN,
VACC,4
VALE,3
VALN,3
VEON,
VIAO,
VIOT,
VIPS,3
VIST,5
VIV,2
VJET,
VLRS,3
VNET,3
VOD,3
VRNA,3
WAVE,
WB,3
WDH,
WDS,
WF,4
WIMI,
WIT,4
WKEY,3
WNS,3
WPP,4
XIN,
XNET,
XPEV,3
XTLB,
XYF,
YALA,
YI,
YJ,
YMM,3
YPF,3
YQ,
YRD,
YSG,3
YY,3
ZEAL,3
ZEPP,
ZH,3
ZLAB,3
ZME,
ZNH,
ZTO,2
