"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"TSM","Taiwan Semiconductor Manufacturing Co Ltd ADRs","Taiwan","TT:2330","Taiwan Stock Exchange","Information Technology","$490,590,845,820","0.00","0.00","0.00","1.88%","11,028,161","Analyze"
"ASML","ASML Holding NV ADRs","The Netherlands","NA:ASML","Nyse Euronext - Euronext Amsterdam","Information Technology","$267,748,285,508","0.00","0.00","0.00","1.21%","981,613","Analyze"
"NVO","Novo Nordisk A/S ADRs","Denmark","DC:NOVO-B","Omx Nordic Exchange Copenhagen A/S","Health Care","$260,652,723,120","0.00","0.00","0.00","1.07%","1,565,762","Analyze"
"BABA","Alibaba Group Holding Ltd ADRs","China","PRIVATE","","Consumer Discretionary","$229,116,943,020","0.00","0.00","0.00","0.00%","21,653,733","Analyze"
"TM","Toyota Motor Corp ADRs","Japan","JT:7203","Tokyo Stock Exchange","Consumer Discretionary","$221,671,734,619","0.00","0.00","0.00","2.90%","213,827","Analyze"
"AZN","AstraZeneca PLC ADRs","United Kingdom","LN:AZN","London Stock Exchange","Health Care","$208,483,600,671","0.00","0.00","0.00","2.15%","4,044,633","Analyze"
"NVS","Novartis AG ADRs","Switzerland","VX:NOVN","Six Swiss - Blue Chips Segment","Health Care","$198,331,040,503","0.00","0.00","0.00","4.24%","2,271,007","Analyze"
"SHEL","Royal Dutch Shell PLC ADRs","USA","","","Energy","$193,525,585,442","0.00","0.00","0.00","3.63%","6,211,022","Analyze"
"SAP","SAP SE ADRs","Germany","GF:SAP","Frankfurt Stock Exchange","Information Technology","$152,015,113,668","0.00","0.00","0.00","2.69%","806,519","Analyze"
"BHP","BHP Billiton Ltd ADRs","Australia","AT:BHP","Asx - All Markets","Materials","$145,920,961,116","0.00","0.00","0.00","9.03%","3,469,749","Analyze"
"TTE","TotalEnergies SE ADRs","France","FP:TTE","Euronext Paris","Energy","$142,094,351,089","0.00","0.00","0.00","4.85%","1,867,622","Analyze"
"HSBC","HSBC Holdings PLC ADRs","United Kingdom","LN:HSBA","London Stock Exchange","Financials","$133,727,686,662","0.00","0.00","0.00","4.07%","3,738,877","Analyze"
"SNY","Sanofi SA ADRs","France","FP:SAN","Euronext Paris","Health Care","$130,446,064,833","0.00","0.00","0.00","3.37%","1,262,224","Analyze"
