ticker,shortName,sector,industry,recommendationMean,numberOfAnalystOpinions,overallRisk,beta,previousClose,trailingEps,forwardEps,trailingPE,forwardPE,pegRatio,bookValue,priceToBook,enterpriseToRevenue,enterpriseToEbitda,ebitdaMargins,profitMargins,earningsGrowth,revenueGrowth,dividendYield,payoutRatio,fiveYearAvgDividendYield,enterpriseValue,freeCashflow,debtToEquity,returnOnAssets,returnOnEquity,quickRatio,currentRatio
1U1.F,1+1 AG  INH O.N.,Communication Services,Telecom Services,,,,0.694171,12.2,2.03,,6.1871924,,,32.625,0.38498086,0.533,2.374,0.2244,0.08698,-0.109,-0.004,0.0043,0.0254,0.85,2133735936,426575616,1.884,0.06307,0.06241,2.413,3.049
III.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2A.MI,A2A,Utilities,Utilities—Diversified,2.0,6,3,1.129068,1.672,0.12,0.15,13.925,11.139999,9.95,1.239,1.3486683,0.479,6.82,0.070250005,0.016590001,-0.157,-0.332,0.0541,0.77459997,5.3,10195217408,375500000,153.86,0.02384,0.08682,0.84,1.146
AAK.ST,AAK AB,Consumer Defensive,Packaged Foods,2.2,10,2,0.477668,192.1,9.25,10.3,20.670269,18.563107,2.9,63.962,2.9892747,1.083,13.128,0.08253,0.047810003,2.937,-0.106,0.0143,0.29729998,,54387326976,1408375040,35.962,0.065409996,0.15966,0.993,1.833
AALB.AS,AALBERTS N.V.,Industrials,Specialty Industrial Machinery,2.0,8,2,1.531415,37.42,2.86,3.3,12.916084,11.193939,1.52,21.114,1.74955,1.486,8.627,0.17221001,0.09518,-0.007,0.063,0.0287,0.38950002,2.13,4951203328,12162500,35.61,0.06145,0.1398,0.509,1.42
ARL.F,AAREAL BANK AG,Financial Services,Banks—Regional,3.0,2,2,1.085162,32.8,2.84,2.63,11.602114,12.528517,,53.978,0.6104339,38.764,,0.0,0.1929,-0.686,-0.194,0.048699997,0.65309995,,32755316736,,,0.00307,0.047119997,,
ABBN.SW,ABB LTD N,Industrials,Electrical Equipment & Parts,2.6,21,2,0.981453,32.5,1.58,1.57,20.5,20.630571,3.29,6.88,4.7078485,2.181,13.105,0.16642,0.10988,1.491,0.126,0.0251,0.4998,3.25,68161601536,1129250048,70.772,0.07093,0.27477,0.699,1.136
ABN.AS,ABN AMRO BANK N.V.,Financial Services,Banks—Diversified,2.6,20,3,1.230507,13.58,2.23,2.48,5.941704,5.342742,0.62,26.177,0.50616956,6.071,,0.0,0.29634002,0.786,0.18,0.089899994,0.3653,,51036008448,,,,,,
ABDN.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC.PA,ACCOR,Consumer Cyclical,Lodging,2.1,18,8,1.293716,32.94,1.23,1.95,26.268293,16.569231,0.74,15.546,2.0783484,2.226,13.723,0.16221,0.1261,,0.392,0.0214,0.0,,10910000128,333375008,62.384,0.03692,0.11611,0.984,1.302
ACKB.BR,ACKERMANS V.HAAREN,Industrials,Engineering & Construction,2.0,6,8,0.703633,157.7,21.27,13.67,7.3389754,11.419167,,139.965,1.1152788,1.63,11.464,0.14216,0.16101,0.787,-0.038,0.0195,0.1292,,7173106176,414920256,38.134,0.01115,0.14372,0.581,0.652
ACS.MC,"ACS,ACTIVIDADES DE CONSTRUCCION",Industrials,Engineering & Construction,2.4,16,7,1.137774,31.28,2.26,1.9,13.769912,16.378948,2.88,20.462,1.520868,0.31,10.507,0.02955,0.02053,,,0.1109,0.77339995,6.26,10938816512,-1004434368,183.911,0.0099,0.14272,0.957,1.277
ADEN.SW,ADECCO N,Industrials,Staffing & Employment Services,2.6,12,1,1.329674,36.63,1.97,3.35,18.35533,10.79403,-3.17,20.809,1.7377096,0.408,10.819,0.03773,0.01354,-0.196,0.01,0.0678,1.2831,5.68,9856314368,365500000,114.527,0.03445,0.09075,1.001,1.12
ADS.F,ADIDAS AG,Consumer Cyclical,Footwear & Accessories,2.0,,3,1.08062,185.64,1.22,12.12,149.40984,15.039604,0.37,26.827,6.794647,1.756,58.367,0.03009,-0.00535,-0.706,-0.045,0.0039,,,39047852032,280675008,126.598,0.00649,-0.05957,0.423,1.278
ADM.LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADYEN.AS,ADYEN,Technology,Software—Infrastructure,2.6,28,1,1.096517,898.4,18.31,5.56,47.170948,155.34174,,77.845,11.095125,4.83,62.272,0.07756,0.06313,0.054,0.45,,0.0,,43159650304,1772748800,8.419,0.06205,0.2672,1.404,1.422
AGN.AS,AEGON,Financial Services,Insurance—Diversified,2.6,15,1,1.258894,4.722,-0.43,0.63,,7.415873,-2.24,5.825,0.8020601,-0.404,-3.372,0.0,0.0,,,0.048299998,,5.32,5212819968,-2214500096,67.837,-0.00239,-0.05074,0.172,1.083
AENA.MC,"AENA, S.M.E., S.A.",Industrials,Airports & Air Services,2.6,25,3,1.200605,139.85,7.18,6.01,19.261839,23.011646,0.13,44.342,3.1189394,6.269,11.925,0.52571,0.26484,0.497,0.172,0.0322,0.5786,,29154979840,649398528,126.873,0.06543,0.19309999,1.063,1.086
ADP.PA,ADP,Industrials,Airports & Air Services,3.1,17,6,1.259651,120.6,5.22,6.13,22.394638,19.070147,2.21,40.386,2.8945673,3.937,11.523,0.34168997,0.10848,0.329,0.269,0.025799999,0.5453,,20580933632,477500000,217.585,0.03244,0.13262,0.944,0.984
