,Company,Ticker,,Exchange,Sector,Market Cap
0,1&1 DrillischAktiengesellschaft,1U1,🇩🇪,Frankfurt Stock Exchange,Telecomms,€2.1bn
1,3i Group plc,III,🇬🇧,London Stock Exchange,Financial Services,£18.7bn
2,A2A Spa,A2A,🇮🇹,Italian Stock Exchange,Electricity,€5.3bn
3,AAK AB,AAK,🇸🇪,Stockholm Stock Exchange,Food Producers,kr50.7bn
4,Aalberts NV,AALB,🇳🇱,Euronext Amsterdam,Industrial Engineering,€4.4bn
5,Aareal Beteiligungen AG,ARL,🇩🇪,Frankfurt Stock Exchange,Banks,€2.0bn
6,ABB Ltd.,ABBN,🇨🇭,SIX Swiss Exchange,Electronic & Electrical Equipment,Fr.64.7bn
7,ABN AMRO Bank N.V. - NLDR,ABN,🇳🇱,Euronext Amsterdam,Banks,€6.8bn
8,Abrdn Plc,ABDN,🇬🇧,London Stock Exchange,Life Insurance,£3.8bn
9,Accor,AC,🇫🇷,Euronext Paris,Travel & Leisure,€8.8bn
10,Ackermans & Van Haaren,ACKB,🇧🇪,Euronext Brussels,General Industrials,€5.3bn
11,"ACS, Actividades de Construccion Y Servicios, S.A.",ACS,🇪🇸,Madrid Stock Exchange,Construction & Materials,€8.8bn
12,Adecco Group AG,ADEN,🇨🇭,SIX Swiss Exchange,Support Services,Fr.6.3bn
13,Adidas AG,ADS,🇩🇪,Frankfurt Stock Exchange,Personal Goods,€31.7bn
14,Admiral Group,ADM,🇬🇧,London Stock Exchange,Nonlife Insurance,£6.6bn
15,Adyen NV,ADYEN,🇳🇱,Euronext Amsterdam,Support Services,€48.4bn
16,Aegon N. V.,AGN,🇳🇱,Euronext Amsterdam,Life Insurance,€10.1bn
17,Aena S.M.E. S.A.,AENA,🇪🇸,Madrid Stock Exchange,Travel & Leisure,€22.0bn
18,Aeroports de Paris SA,ADP,🇫🇷,Euronext Paris,Travel & Leisure,€12.2bn
19,Ageas SA/NV,AGS,🇧🇪,Euronext Brussels,Life Insurance,€7.1bn
20,AIB Group Plc,AIBG,🇮🇪,Irish Stock Exchange,Banks,€11.3bn
21,Airbus SE,AIR,🇫🇷,Euronext Paris,Aerospace & Defence,€104.1bn
22,Air France-KLM,AF,🇫🇷,Euronext Paris,Travel & Leisure,€3.7bn
23,Air Liquide S.A,AI,🇫🇷,Euronext Paris,Chemicals,€84.1bn
24,Aker BP ASA,AKRBP,🇳🇴,Oslo Stock Exchange,Oil & Gas Producers,kr173.7bn
25,Akzo Nobel N.V.,AKZA,🇳🇱,Euronext Amsterdam,Chemicals,€13.1bn
26,Alcon Inc.,ALC,🇨🇭,SIX Swiss Exchange,Pharmaceuticals & Biotechnology,Fr.35.8bn
27,Alfa Laval AB,ALFA,🇸🇪,Stockholm Stock Exchange,General Industrials,kr159.8bn
28,Allianz SE,ALV,🇩🇪,Frankfurt Stock Exchange,Life Insurance,€86.1bn
29,Alstom,ALO,🇫🇷,Euronext Paris,Industrial Engineering,€10.0bn
30,Alten,ATE,🇫🇷,Euronext Paris,Engineering,€4.5bn
31,Amadeus IT Group S.A.,AMS,🇪🇸,Madrid Stock Exchange,Software & Computer Services,€28.6bn
32,Ambu AS - Class B Shares,AMBU B,🇩🇰,Copenhagen Stock Exchange,Health Care Equipment & Services,kr.22.3bn
33,ams-OSRAM AG,AMS,🇨🇭,SIX Swiss Exchange,Technology Hardware & Equipment,Fr.1.8bn
34,Amundi,AMUN,🇫🇷,Euronext Paris,Financial Services,€11.0bn
35,Andritz AG,ANDR,🇦🇹,Vienna Stock Exchange,General Industrials,€4.9bn
36,Anglo American plc,AAL,🇬🇧,London Stock Exchange,Mining,£28.9bn
37,Anheuser-Busch In Bev SA/NV,ABI,🇧🇪,Euronext Brussels,Beverages,€89.1bn
38,Antofagasta plc,ANTO,🇬🇧,London Stock Exchange,Mining,£15.8bn
39,A.P. Moller - Maersk AS - Class B Shares,MAERSK B,🇩🇰,Copenhagen Stock Exchange,Industrial Transportation,kr.98.4bn
40,ArcelorMittal,MT,🇳🇱,Euronext Amsterdam,Industrial Metals,€21.1bn
41,Argen X SE,ARGX,🇧🇪,Euronext Brussels,Pharmaceuticals & Biotechnology,€26.4bn
42,Arkema,AKE,🇫🇷,Euronext Paris,Chemicals,€7.2bn
43,Aroundtown S.A,AT1,🇩🇪,Xetra,Property,€2.2bn
44,Ashtead Group plc,AHT,🇬🇧,London Stock Exchange,Support Services,£25.2bn
45,ASM International NV,ASM,🇳🇱,Euronext Amsterdam,Technology Hardware & Equipment,€21.9bn
