ticker,shortName,sector,industry,recommendationMean,numberOfAnalystOpinions,overallRisk,beta,previousClose,trailingEps,forwardEps,trailingPE,forwardPE,pegRatio,bookValue,priceToBook,enterpriseToRevenue,enterpriseToEbitda,ebitdaMargins,profitMargins,earningsGrowth,revenueGrowth,dividendYield,payoutRatio,fiveYearAvgDividendYield,enterpriseValue,freeCashflow,debtToEquity,returnOnAssets,returnOnEquity,quickRatio,currentRatio
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,2.3,17,8,,125.65,4.53,5.66,26.790285,21.441696,3.08,17.967,6.7546062,,,0.0,0.0,,,0.0074,0.2317,0.7,35931303936,,,,,,
AA,Alcoa Corporation,Basic Materials,Aluminum,2.6,11,1,2.442674,30.34,-8.55,3.16,,9.275316,-3.31,27.134,1.0801946,0.751,24.152,0.0311,-0.13563,,-0.263,0.0125,,,8163249152,-172000000,28.399,-0.0110599995,-0.22429001,0.692,1.799
AAC,Ares Acquisition Corporation,Financial Services,Shell Companies,,,,0.013452,10.65,-0.07,-1.01,,-10.544554,,-1.176,,,,0.0,0.0,-0.314,,,0.0,,760293376,4248913,,-0.01222,,0.002,0.004
AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,2.0,1,,1.279503,1.18,-0.22,-0.99,,-1.2222222,-0.06,3.444,0.35133567,0.07,-0.459,-0.15168001,-0.21479,,0.065,,0.0,,14553503,,30.286,-0.07129,-0.341,0.175,0.205
AACI,Armada Acquisition Corp. I,Financial Services,Shell Companies,,,,,10.65,-0.59,,,,,-0.152,,,,0.0,0.0,,,,0.0,,220556176,,,,,,
AACIW,Armada Acquisition Corp. I Warrant,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,
AACT,Ares Acquisition Corporation II,Financial Services,Shell Companies,,,,,10.2001,0.0,,Infinity,,,-0.311,,,,0.0,0.0,,,,0.0,,639985408,,,,,9.022,11.596
AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,1.6,4,8,,5.95,-2.55,-2.92,,-2.0308218,,5.36,1.1063433,0.579,-0.187,0.0,-2.85878,,0.804,,0.0,,12473167,-36746124,1.118,-0.29871,-0.51286,10.662,11.151
AAIC,Arlington Asset Investment Corp,Real Estate,REIT—Mortgage,2.7,2,6,,4.46,0.11,0.27,40.0,16.296295,-1.98,6.546,0.6721662,,,0.0,0.0,,,,0.0,,124785968,,,,,,
AAIN,Arlington Asset Investment Corp,,,,,,,23.71,,,,,,,,,,,,,,,,,,,,,,,
AAL,"American Airlines Group, Inc.",Industrials,Airlines,2.9,13,7,1.555594,15.55,2.56,3.4,6.03125,4.5411763,0.04,-6.712,,0.772,5.462,0.14128,0.0498,1.769,0.047,,0.0,,40818991104,1205874944,,0.04808,,0.581,0.749
AAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAMC,Altisource Asset Management Cor,Financial Services,Mortgage Finance,,,,,10.28,-7.42,,,,,-50.391,,,,0.0,0.0,,,,0.0,,17573054,,,,,,
AAME,Atlantic American Corporation,Financial Services,Insurance—Life,,,4,0.275372,1.85,-0.15,,,,,5.07,0.34155816,0.274,11.829,0.02319,0.0035299999,,0.101,0.0108,0.0,,51301644,22675750,38.613,0.0059100003,0.00621,0.94,1.319
AAN,"Aarons Holdings Company, Inc.",Industrials,Rental & Leasing Services,2.9,6,2,1.113261,12.61,-0.44,1.44,,8.756944,-0.08,23.021,0.5477607,0.459,4.519,0.10147,-0.00095,,-0.131,0.0397,,,1039934144,722118720,96.969,0.04651,-0.00301,0.297,3.243
AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment,2.3,2,8,1.865604,14.79,-2.52,0.4,,32.574997,-2.14,5.136,2.5369937,2.485,-13.142,-0.1891,-0.32461,,-0.204,,0.0,,529145888,18816876,80.905,-0.09789,-0.36106,0.342,0.771
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,2.2,3,3,0.812954,94.5,2.2,3.36,42.986362,28.145834,2.59,12.139,7.790592,2.261,10.586,0.21360001,0.14217,1.733,0.36,0.0050999997,0.17709999,0.63,2367625984,13456375,13.044,0.13448,0.25876,1.184,2.76
AAP,Advance Auto Parts Inc.,Consumer Cyclical,Specialty Retail,3.0,17,2,1.101143,69.73,6.73,6.77,10.381872,10.320532,4.26,44.643,1.565083,0.762,9.165,0.083170004,0.036140002,-0.682,0.013,0.0143,0.6686,1.52,8535606272,58499000,175.873,0.03311,0.14596,0.202,1.244
AAPL,Apple Inc.,Technology,Consumer Electronics,2.0,40,1,1.286802,177.45,5.89,6.61,29.97793,26.712557,4.57,3.852,45.838528,7.362,22.802,0.32286,0.24681,0.05,-0.014,0.0054,0.156,0.87,2826408034304,90680500224,181.305,0.20896,1.60093,0.814,0.982
AAT,"American Assets Trust, Inc.",Real Estate,REIT—Diversified,3.2,3,6,1.127467,21.26,0.84,0.75,24.964285,27.96,9.9,20.004,1.0482904,6.628,11.997,0.55245,0.11744001,0.13,0.053,0.0629,1.5475999,3.6,2850976512,67036624,145.631,0.02477,0.054569997,2.985,3.146
AAU,"Almaden Minerals, Ltd.",Basic Materials,Gold,3.0,1,,1.008118,0.128,-0.06,-0.04,,-3.0,,0.505,0.23762377,,-3.646,0.0,0.0,,,,0.0,,17023128,-3946494,6.49,-0.03561,-0.15135,20.049,23.769
AB,AllianceBernstein Holding L.P.,Financial Services,Asset Management,2.6,4,,1.301004,29.23,2.41,3.11,12.282157,9.517685,1.05,17.999,1.6445358,,,0.0,0.0,-0.232,,0.0866,1.1991,8.65,3421426688,,,,0.14155,,
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers—General,2.4,25,9,0.54728,152.12,4.25,11.07,35.658825,13.690154,-3.31,7.29,20.788752,5.715,10.966,0.52114,0.15502,1.234,-0.049,0.038900003,1.1893001,4.48,320151814144,23683999744,475.988,0.09175,0.63017,0.628,0.895
ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,2.1,14,3,0.562175,185.44,7.79,12.86,23.618742,14.307155,1.82,3.394,54.210373,0.169,12.602,0.01344,0.00664,0.224,0.115,0.0104,0.2333,1.55,43079917568,3313218560,688.875,0.027,2.3366401,0.475,0.876
ABCB,Ameris Bancorp,Financial Services,Banks—Regional,2.3,6,3,1.156563,41.82,4.69,4.55,8.780384,9.0505495,1.35,47.66,0.8640369,3.359,,0.0,0.31407,-0.302,-0.072,0.0146,0.13949999,1.4,3185180416,,,0.01204,0.09369001,,
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,1.8,8,8,-0.070592,5.52,-0.18,-0.56,,-9.821428,-1.18,4.132,1.3310746,6.1,-10.27,-0.59398997,-0.50909,,-0.781,,0.0,,885582400,-169535120,7.033,-0.043080002,-0.061389998,7.076,7.828
ABCM,Abcam plc,Healthcare,Biotechnology,2.0,5,,0.923542,22.62,-0.05,,,,,3.174,6.78639,14.013,58.866,0.23804002,-0.0235,,0.068,,0.0,,5068363264,31137500,30.802,0.032679997,-0.01229,0.889,1.266
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,1.7,4,,1.34638,3.45,-2.21,-1.95,,-1.8256409,,0.435,8.1839075,16.069,-1.357,0.0,0.0,,2.5,,0.0,,57332908,-22881250,63.927,-0.5727,-2.67174,4.502,4.665
ABEV,Ambev S.A.,Consumer Defensive,Beverages—Brewers,2.2,7,5,0.617467,2.82,0.19,0.19,14.947369,14.947369,2.44,5.403,0.52563393,0.456,1.693,0.26903,0.17262,-0.157,0.051,0.0508,0.8492,3.3,37677678592,10596658176,4.743,0.08271,0.16919,0.607,1.006
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,2.4,6,3,1.130931,223.19,39.93,31.27,5.4926124,7.0137515,-6.02,149.143,1.470535,0.538,6.424,0.08367,0.06282,0.03,-0.053,,0.0,,8007449088,210987504,117.663,0.09337,0.34162998,0.437,1.909
ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,,,,1.255628,2.04,-0.44,-8.8,,-0.2306818,,2.723,0.7455013,,1.524,0.0,0.0,,,,0.0,,-10574410,-4191875,0.838,-0.09748,-0.15043001,25.066,25.44
ABL,"Abacus Life, Inc.",Financial Services,Insurance—Life,,,,-0.107361,7.6,-0.0,,,,,3.07,2.4462543,2.343,3.022,0.77533996,0.72612,,0.04,,0.0,,105677200,,105.802,,1.81168,1.411,1.43
ABLLW,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,
