ticker,zacks_rank
A,3
AA,3
AAC,
AACG,
AACI,
AACIW,
AACT,
AADI,3
AAIC,3
AAIN,
AAL,3
AAM,
AAMC,
AAME,
AAN,3
AAOI,2
AAON,2
AAP,4
AAPL,3
AAT,3
AAU,
AB,4
ABBV,3
ABC,3
ABCB,3
ABCL,3
ABCM,2
ABEO,
ABEV,2
ABG,3
ABIO,
ABL,
ABLLW,
ABM,3
ABNB,3
ABOS,3
ABR,3
ABSI,3
ABT,3
ABUS,3
ABVC,
AC,
ACA,2
ACAB,
ACABW,
ACAC,
ACACU,
ACAD,3
ACAH,
ACAHW,
ACAQ,
ACB,2
ACBA,
ACBAU,
ACBAW,
ACCD,3
ACCO,3
ACDC,5
ACDCW,
ACEL,3
ACER,3
ACET,3
ACGL,1
ACGLN,
ACGLO,
ACGN,
ACHC,3
ACHL,2
ACHR,3
ACHV,
ACI,3
ACIC,
ACIU,3
ACIW,3
ACLS,1
ACLX,2
ACM,2
ACMR,1
ACN,3
ACNB,2
ACNT,4
ACON,
ACONW,
ACOR,
ACP,
ACR,3
ACRE,5
ACRO,
ACRS,3
ACRV,3
ACRX,3
ACST,2
ACT,2
ACTG,
ACU,
ACV,
ACVA,3
ACXP,3
ADAG,3
ADAP,4
ADBE,3
ADC,3
ADCT,3
ADD,
ADEA,3
ADER,
ADES,3
ADEX,
ADI,3
ADIL,3
ADM,3
ADMA,3
ADMP,
ADN,4
ADNT,3
ADNWW,
ADOC,
ADOCR,
ADOCW,
ADP,3
ADPT,3
ADRT,
ADSE,3
ADSEW,
ADSK,3
ADT,4
ADTH,
ADTHW,
ADTN,3
ADTX,3
ADUS,3
ADV,2
ADVM,3
ADVWW,
ADX,
ADXN,
AE,3
AEAE,
AEAEW,
AEE,3
AEF,
AEFC,
AEG,2
AEHL,
AEHR,1
AEI,
AEIS,3
AEL,3
AEM,3
AEMD,
AENT,
AENTW,
AENZ,
AEO,2
AEON,
AEP,3
AER,3
AES,3
AESC,
AESI,3
AEVA,3
AEY,
AEYE,3
AEZS,3
AFAR,
AFARW,
AFB,
AFBI,
AFCG,4
AFG,4
AFGB,
AFGC,
AFGD,
AFGE,
AFIB,3
AFL,2
AFMD,3
AFRI,
AFRIW,
AFRM,3
AFT,
AFYA,1
AG,3
AGAC,
AGAE,
AGBA,
AGBAW,
AGCO,3
AGD,
AGE,
AGEN,3
AGFY,
AGI,3
AGIL,
AGILW,
AGIO,3
AGL,3
AGLE,3
AGM,1
AGMH,
AGNC,3
AGNCL,
AGNCM,
AGNCN,
AGNCO,
AGNCP,
AGO,5
AGR,4
AGRI,3
AGRIW,
AGRO,2
AGRX,4
AGS,3
AGTI,4
AGX,
AGYS,3
AHCO,3
AHG,
AHH,3
AHI,
AHL,
AHT,3
AI,3
AIB,
AIBBR,
AIC,
AIF,
AIG,3
AIH,
AIHS,
AIM,
AIMAW,
AIMBU,
AIMD,
AIMDW,
AIN,3
AINC,3
AIO,
AIP,4
AIR,2
AIRC,3
AIRG,3
AIRI,3
AIRS,3
AIRT,
AIRTP,
AIT,2
AIU,
AIV,
AIXI,
AIZ,1
AIZN,
AJG,3
AJX,
AJXA,
AKA,4
AKAM,3
AKAN,
AKBA,3
AKLI,4
AKO,
AKR,3
AKRO,3
AKTS,3
AKTX,3
AKU,4
AKYA,3
AL,3
ALAR,3
ALB,3
ALBT,
ALC,2
ALCC,
ALCO,3
ALCY,
ALCYU,
ALCYW,
ALDX,3
ALE,3
ALEC,1
ALEX,3
ALG,2
ALGM,2
ALGN,2
ALGS,3
ALGT,3
ALHC,3
ALIM,4
ALIT,3
ALK,3
ALKS,3
ALKT,4
ALL,3
ALLE,3
ALLG,
ALLK,3
ALLO,3
ALLR,
ALLT,3
ALLY,5
ALNY,3
ALOR,
ALORW,
ALOT,
